Frog,Morph,Color,Slide/section,Total area,Melanophores,%mel,Xanthophores,%xan,Glands,%glands,Epidermis,Data analyzed
PC23,striped,yellow,S11-1-2,287063,69187,24.10,0,0.00,38010,13.24,54299,8/7
PC23,striped,yellow,S11-2-1,369485,114094,30.88,0,0.00,37386,10.12,38170,8/7
PC23,striped,yellow,S11-2-2,286425,61794,21.57,0,0.00,12126,4.23,34562,8/7
PC23,striped,yellow,S11-3-2,550923,58680,10.65,30978,5.62,60938,11.06,33777,8/7
PC23,striped,yellow,S12-1-1,367732,46544,12.66,36877,10.03,54477,14.81,69006,8/7
PC23,striped,yellow,S12-1-2,301713,50249,16.65,25727,8.53,35826,11.87,72446,8/7
PC23,striped,yellow,S12-2-1,366144,44974,12.28,34475,9.42,59591,16.28,58315,8/7
PC23,striped,yellow,S12-3-1,384000,74017,19.28,0,0.00,53658,13.97,43796,8/7
PC23,striped,yellow,S12-3-2,368373,50979,13.84,23322,6.33,59424,16.13,63567,8/7
PC23,striped,yellow,S14-1-1,303952,27556,9.07,16365,5.38,47720,15.70,48127,8/7
PC23,striped,yellow,S14-2-1,311195,43284,13.91,19174,6.16,43818,14.08,49024,8/7
PC23,striped,yellow,S14-3-1,283703,37417,13.19,14151,4.99,38503,13.57,47196,8/7
PC23,striped,yellow,S13-1-1,329499,46803,14.20,9876,3.00,36609,11.11,55315,8/10
PC23,striped,yellow,S13-2-1,396039,57572,14.54,25242,6.37,45468,11.48,62507,8/10
PC23,striped,yellow,S13-3-1,319462,38031,11.90,20414,6.39,50331,15.75,50142,8/10
PC26,striped,green,S2-1-1,400808,44277,11.05,26327,6.57,56317,14.05,50995,8/10
PC26,striped,green,S2-2-1,415026,32726,7.89,24015,5.79,86627,20.87,59641,8/10
PC26,striped,green,S2-3-1,347359,37702,10.85,19346,5.57,50115,14.43,43876,8/10
PC26,striped,green,S3-1-1,501017,64940,12.96,26554,5.30,18467,3.69,52455,8/10
PC26,striped,green,S3-2-1,465730,39021,8.38,34410,7.39,38221,8.21,57084,8/10
PC26,striped,green,S3-3-1,378640,25589,6.76,26378,6.97,42006,11.09,62148,8/10
PC26,striped,green,S4-1-1,429281,50336,11.73,18591,4.33,23089,5.38,53212,8/10
PC26,striped,green,S4-1-2,364627,48079,13.19,12099,3.32,3417,0.94,71583,8/10
PC26,striped,green,S4-2-2,284939,31739,11.14,12328,4.33,28212,9.90,45304,8/10
PC26,striped,green,S4-3-1,390183,31364,8.04,30975,7.94,42940,11.01,56798,8/10
PC26,striped,green,S4-3-2,328567,49272,15.00,0,0.00,15973,4.86,51566,8/10
PC26,striped,green,S5-1-1,378332,29166,7.71,24206,6.40,53027,14.02,60247,8/10
PC26,striped,green,S5-2-1,409575,33137,8.09,38978,9.52,61691,15.06,74735,8/10
PC26,striped,green,S5-3-1,377496,28930,7.66,25957,6.88,63949,16.94,52868,8/10
PC26,striped,green,S6-1-1,437528,46543,10.64,60583,13.85,77767,17.77,19583,8/10
PC26,striped,green,S6-1-2,393930,29890,7.59,17974,4.56,84351,21.41,49254,8/10
PC26,striped,green,S6-2-1,376759,36617,9.72,16668,4.42,44955,11.93,38246,8/10
PC26,striped,green,S6-3-1,447860,53417,11.93,12681,2.83,42729,9.54,56724,8/10
PC26,striped,green,S6-3-2,404753,36908,9.12,18886,4.67,63443,15.67,52236,8/10
PC26,striped,green,S7-1-1,486528,44525,9.15,16527,3.40,93723,19.26,54939,8/10
PC26,striped,green,S7-1-2,401927,39793,9.90,24517,6.10,55118,13.71,56827,8/10
PC26,striped,green,S7-2-1,475220,38226,8.04,22944,4.83,89858,18.91,62307,8/10
PC26,striped,green,S7-2-2,409761,27992,6.83,26975,6.58,72314,17.65,48343,8/10
PC26,striped,green,S7-3-1,344744,41946,12.17,0,0.00,51393,14.91,51544,8/10
PC26,striped,green,S7-3-2,253017,24798,9.80,8759,3.46,58246,23.02,30477,8/10
PC26,striped,green,S8-1-1,452300,47741,10.56,22990,5.08,101851,22.52,60590,8/10
PC26,striped,green,S8-1-2,474884,38619,8.13,14457,3.04,68058,14.33,54366,8/10
PC26,striped,green,S8-2-1,424686,41910,9.87,19076,4.49,78403,18.46,48264,8/10
PC26,striped,green,S8-2-2,536638,44567,8.30,18962,3.53,160863,29.98,51626,8/10
PC26,striped,green,S8-3-1,364774,45272,12.41,14854,4.07,66933,18.35,51464,8/10
PC26 ,striped,green,S8-3-2,494985,38708,7.82,17766,3.59,87251,17.63,42558,8/10
PC26,striped,green,S9-1-1,383732,31149,8.12,44263,11.53,66878,17.43,17220,8/10
PC26,striped,green,S9-1-2,417371,36905,8.84,20268,4.86,67188,16.10,39959,8/10
PC26,striped,green,S9-2-1,427678,37953,8.87,18970,4.44,134303,31.40,43566,8/10
PC26,striped,green,S9-2-2,415540,41290,9.94,12036,2.90,58510,14.08,54908,8/10
PC26,striped,green,S9-3-1,477359,29466,6.17,23269,4.87,176517,36.98,47075,8/10
PC26,striped,green,S9-3-2,297358,36943,12.42,0,0.00,58440,19.65,40291,8/10
PC26,striped,green,S10-1-1,484541,50382,10.40,18317,3.78,84551,17.45,50394,8/10
PC26,striped,green,S10-1-2,479099,40105,8.37,23156,4.83,115263,24.06,51887,8/10
PC26,striped,green,S10-2-1,508911,46449,9.13,23197,4.56,143056,28.11,52290,8/10
PC26,striped,green,S10-3-1,510418,41721,8.17,44545,8.73,139688,27.37,55253,8/10
PC26,striped,green,S11-1-1,622846,57314,9.20,26436,4.24,87516,14.05,59901,8/10
PC26,striped,green,S11-2-1,516222,51503,9.98,19389,3.76,79368,15.37,75629,8/10
PC26,striped,green,S11-3-1,272804,24296,8.91,6789,2.49,45116,16.54,54733,8/10
PC26,striped,green,S12-1-1,421845,33954,8.05,28881,6.85,71960,17.06,51708,8/10
PC26,striped,green,S12-2-1,422522,50424,11.93,33969,8.04,76045,18.00,58455,8/10
PC26,striped,green,S12-3-1,413182,35088,8.49,24776,6.00,88739,21.48,58912,8/10
PC26,striped,green,S13-1-1,415461,31585,7.60,26169,6.30,73965,17.80,61965,8/10
PC26,striped,green,S13-2-1,401073,35244,8.79,22082,5.51,81662,20.36,53134,8/10
PC26,striped,green,S14-1-1,295000,42392,14.37,4922,1.67,20067,6.80,56267,8/10
